config_id,category,parameter,expected_value,actual_value,is_compliant,is_vulnerable,severity,cis_reference,timestamp,feature_network_exposed,feature_affects_auth,feature_critical_file,feature_root_access,feature_weak_auth,feature_kernel_hardening,feature_network_stack,feature_firewall_weak,feature_world_writable,feature_weak_protocol,feature_is_vulnerable,feature_high_risk_param,feature_category_risk,feature_ssh_risk_score,feature_perm_risk_score,feature_pwd_weakness_score,feature_combined_risk
SSH-0022,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-05-05,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0018,SSH,X11Forwarding,no,no,True,False,NONE,CIS-5.2.6,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0024,SSH,MaxAuthTries,3,6,False,True,MEDIUM,CIS-5.2.5,2026-06-04,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2
SSH-0029,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-01-24,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0056,SSH,Protocol,2,1,False,True,CRITICAL,CIS-5.2.2,2026-04-22,1,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,9
SSH-0057,SSH,MaxAuthTries,3,6,False,True,MEDIUM,CIS-5.2.5,2026-06-27,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2
SSH-0007,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-09-03,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0027,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-06-20,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0023,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-04-25,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
FW-0001,FIREWALL,default_policy,DROP,ACCEPT,False,True,HIGH,CIS-3.6.2,2026-09-15,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,3
SSH-0040,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-04-28,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0030,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-08-18,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
PERM-0008,FILE_PERMISSIONS,/etc/shadow,640,644,False,True,MEDIUM,CIS-6.1.3,2026-07-19,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1
PWD-0005,PASSWORD_POLICY,PASS_WARN_AGE,7,14,True,False,NONE,CIS-GENERAL,2026-04-18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SSH-0020,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-03-23,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0011,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-04-17,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0007,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-09-03,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
FW-0003,FIREWALL,enabled,yes,yes,True,False,NONE,CIS-3.6.1,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
